order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,morning_order,date_ordered
2352815,185282,prior,5,2,09,6,yes,2025-01-07
1414622,41949,prior,9,0,16,6,no,2025-01-07
2534064,24631,prior,66,1,13,4,no,2025-01-05
338572,95289,prior,4,2,14,18,no,2025-01-19
2578618,170417,prior,5,1,13,14,no,2025-01-15
1756647,127210,prior,31,3,18,9,no,2025-01-10
2636806,26473,prior,24,2,17,17,no,2025-01-18
681993,89155,prior,17,1,15,4,no,2025-01-05
826339,67750,prior,7,3,14,17,no,2025-01-18
57285,89307,prior,48,1,22,5,no,2025-01-06
1006006,72383,prior,11,4,10,13,yes,2025-01-14
1832797,167803,prior,7,3,11,1,no,2025-01-02
501739,108500,prior,4,0,11,30,no,2025-01-31
252957,40888,prior,14,3,08,1,yes,2025-01-02
2012513,3371,prior,15,6,15,14,no,2025-01-15
808404,9192,prior,41,2,17,5,no,2025-01-06
2312190,180035,prior,30,5,13,7,no,2025-01-08
222215,178080,prior,37,2,20,4,no,2025-01-05
1806655,167097,prior,6,0,15,0,no,2025-01-01
2916896,150182,prior,4,3,14,6,no,2025-01-07
1962438,150874,prior,11,5,11,6,no,2025-01-07
2877016,71915,prior,6,1,16,17,no,2025-01-18
1411634,90355,prior,34,0,11,3,no,2025-01-04
2664740,151488,prior,14,2,09,21,yes,2025-01-22
329644,63401,prior,2,4,16,2,no,2025-01-03
2676178,82271,prior,37,5,17,4,no,2025-01-05
751824,120472,prior,31,4,15,3,no,2025-01-04
61912,176519,prior,19,1,18,5,no,2025-01-06
87273,39817,prior,31,0,17,6,no,2025-01-07
762932,181518,prior,14,2,11,4,no,2025-01-05
3133274,77078,prior,6,2,19,9,no,2025-01-10
1114186,27284,prior,7,3,08,30,yes,2025-01-31
473111,113547,prior,2,3,18,19,no,2025-01-20
3053049,108156,prior,29,4,10,6,yes,2025-01-07
295167,108958,prior,23,2,13,8,no,2025-01-09
1469206,74913,prior,2,1,08,20,yes,2025-01-21
2047079,64331,test,44,2,08,6,yes,2025-01-07
2911209,112545,prior,12,5,10,7,yes,2025-01-08
514346,64234,prior,24,2,20,11,no,2025-01-12
536196,40629,prior,25,6,12,14,no,2025-01-15
1052283,60791,prior,15,3,15,7,no,2025-01-08
943411,73245,prior,21,1,17,3,no,2025-01-04
564216,135767,test,4,6,14,30,no,2025-01-31
2313058,126360,test,4,5,13,3,no,2025-01-04
93089,149893,prior,4,4,18,6,no,2025-01-07
940561,171267,prior,2,4,11,30,no,2025-01-31
3162976,22967,prior,11,6,08,1,yes,2025-01-02
1429799,60505,prior,17,6,13,9,no,2025-01-10
494525,138731,prior,12,6,12,7,no,2025-01-08
277601,130213,prior,13,1,14,9,no,2025-01-10
2384219,129972,prior,14,4,20,17,no,2025-01-18
2682528,115608,prior,9,1,16,3,no,2025-01-04
70418,1882,prior,11,3,15,30,no,2025-01-31
1321319,140001,prior,11,5,11,3,no,2025-01-04
323079,35517,train,17,1,08,5,yes,2025-01-06
1895773,55234,prior,19,4,11,7,no,2025-01-08
2815180,36112,prior,7,2,07,7,yes,2025-01-08
3246409,70011,prior,42,2,09,5,yes,2025-01-06
2596539,43094,prior,4,4,09,6,yes,2025-01-07
3152437,203381,prior,24,4,20,4,no,2025-01-05
2820405,134351,prior,15,0,19,4,no,2025-01-05
862581,28667,prior,4,1,19,14,no,2025-01-15
954279,146456,prior,11,6,10,6,yes,2025-01-07
1995557,205417,prior,62,5,07,3,yes,2025-01-04
3255812,133943,prior,9,1,20,10,no,2025-01-11
3160213,182542,prior,6,5,18,23,no,2025-01-24
2381783,82163,prior,32,4,18,7,no,2025-01-08
2680779,141697,prior,8,0,13,12,no,2025-01-13
2888460,106465,prior,20,2,16,4,no,2025-01-05
344967,23585,prior,23,1,14,3,no,2025-01-04
3208072,145450,prior,4,5,15,12,no,2025-01-13
171318,124594,prior,22,1,13,6,no,2025-01-07
1723662,94058,prior,16,4,14,11,no,2025-01-12
2746491,10888,prior,48,3,12,2,no,2025-01-03
2581,194025,prior,8,0,12,1,no,2025-01-02
3269972,38886,prior,64,1,11,5,no,2025-01-06
1806398,153947,prior,12,5,13,12,no,2025-01-13
3270479,168921,prior,71,0,15,1,no,2025-01-02
283656,64204,prior,7,6,18,7,no,2025-01-08
2589730,59782,prior,17,4,17,3,no,2025-01-04
587344,113130,train,15,2,11,30,no,2025-01-31
2862042,2721,test,9,1,11,30,no,2025-01-31
2509332,184521,prior,2,1,13,7,no,2025-01-08
2299134,157587,prior,85,1,19,1,no,2025-01-02
1149456,157460,prior,2,5,15,24,no,2025-01-25
1796877,154478,train,42,3,21,24,no,2025-01-25
631531,38469,prior,26,4,20,8,no,2025-01-09
890179,200112,prior,39,5,14,1,no,2025-01-02
835599,69573,prior,21,0,19,0,no,2025-01-01
1840728,100710,prior,7,5,12,7,no,2025-01-08
2239873,103409,prior,10,1,18,19,no,2025-01-20
2810448,4776,test,9,0,14,9,no,2025-01-10
3278269,138657,prior,2,0,15,5,no,2025-01-06
1219346,199280,prior,50,5,17,5,no,2025-01-06
3414962,204998,prior,24,1,10,6,yes,2025-01-07
837132,183210,prior,9,1,06,12,yes,2025-01-13
2679109,9910,prior,43,5,12,1,no,2025-01-02
3238596,162687,prior,8,4,13,9,no,2025-01-10
2449950,140528,prior,2,2,18,5,no,2025-01-06
3179616,28870,prior,2,4,19,11,no,2025-01-12
2831383,93163,prior,13,5,14,30,no,2025-01-31
2871122,62955,prior,21,3,19,9,no,2025-01-10
3092551,59120,prior,5,6,21,30,no,2025-01-31
3318830,145407,prior,12,1,10,13,yes,2025-01-14
1343596,163275,prior,13,5,13,16,no,2025-01-17
2738482,162201,prior,25,0,13,14,no,2025-01-15
263777,144485,prior,9,0,09,5,yes,2025-01-06
452521,31702,prior,4,6,17,30,no,2025-01-31
2680977,188917,prior,12,1,12,10,no,2025-01-11
1397570,114181,prior,16,2,18,2,no,2025-01-03
2203995,114861,prior,26,2,13,12,no,2025-01-13
854222,98340,prior,2,6,10,8,yes,2025-01-09
1104872,32340,train,62,2,11,8,no,2025-01-09
1253517,67494,prior,3,5,12,7,no,2025-01-08
2788861,122230,prior,3,0,15,7,no,2025-01-08
758828,181171,prior,2,3,15,8,no,2025-01-09
228727,123439,prior,2,6,14,7,no,2025-01-08
2773090,49911,prior,5,6,13,3,no,2025-01-04
1724762,29552,prior,2,5,01,26,no,2025-01-27
3356550,56224,prior,5,4,15,21,no,2025-01-22
130412,79384,prior,10,3,12,30,no,2025-01-31
236930,27682,prior,9,5,12,10,no,2025-01-11
53143,83515,prior,7,6,16,8,no,2025-01-09
449035,18430,prior,7,1,11,9,no,2025-01-10
435870,36817,prior,2,1,10,30,yes,2025-01-31
181036,105152,prior,31,2,12,6,no,2025-01-07
1423649,176927,prior,6,4,14,30,no,2025-01-31
3170176,6633,prior,20,6,18,30,no,2025-01-31
2152127,139151,prior,12,6,12,5,no,2025-01-06
730078,142921,prior,9,5,14,7,no,2025-01-08
439718,144972,prior,78,4,18,3,no,2025-01-04
1317540,92568,prior,13,6,11,23,no,2025-01-24
1867920,89195,prior,4,1,18,30,no,2025-01-31
2227684,12262,prior,32,0,15,15,no,2025-01-16
1302048,34969,prior,3,5,21,13,no,2025-01-14
1097367,199480,prior,7,1,00,11,no,2025-01-12
1268826,157614,test,6,4,09,30,yes,2025-01-31
1376328,191861,prior,10,3,17,3,no,2025-01-04
1073804,83465,test,6,0,16,30,no,2025-01-31
437353,99296,prior,2,0,22,18,no,2025-01-19
1439111,70195,prior,2,1,07,23,yes,2025-01-24
1091419,201337,prior,6,2,06,15,yes,2025-01-16
2046284,52121,prior,13,6,09,7,yes,2025-01-08
2289382,42712,prior,4,0,00,4,no,2025-01-05
1283129,62382,prior,9,1,13,10,no,2025-01-11
1672622,92565,prior,14,4,07,7,yes,2025-01-08
3118329,26261,prior,17,5,14,5,no,2025-01-06
502096,189160,prior,8,3,16,2,no,2025-01-03
1879414,68198,prior,30,5,08,5,yes,2025-01-06
411460,123143,prior,85,4,17,3,no,2025-01-04
334802,24059,prior,3,6,13,6,no,2025-01-07
458964,48364,prior,29,5,15,10,no,2025-01-11
3055608,119307,prior,4,3,11,4,no,2025-01-05
1698628,63238,prior,9,4,17,4,no,2025-01-05
2361868,28405,prior,25,0,11,5,no,2025-01-06
231182,115518,prior,3,2,09,21,yes,2025-01-22
